System,Frame,Leaflet,zo,h,mux,muy,std_p1,std_p2,theta
cut1,0,1,56.57848520780357,-18.275887719472884,79.78451333397012,149.79836761323023,93.91178292582718,85.84018256491487,2.7543198007651006
cut1,10,1,56.4670210135919,-17.62074446471171,82.03983637679941,153.7637985364844,86.73204419463788,93.66739240198127,3.4457432580135037
cut1,20,1,57.87822563217353,-19.251968310283043,81.05344244345,161.90641311815403,91.70627925926553,98.53150036971077,4.389181255410606
cut1,30,1,56.12657261793764,-16.939864531942263,79.63221057803113,161.16854851258668,91.21896615840826,94.31669141469342,4.655953038000926
cut1,40,1,57.887671374538975,-18.596755590891753,80.58686146911275,151.32811362863254,80.28955237853432,91.28092846752976,9.345605695093354
cut1,50,1,56.50264817875274,-17.579262570996523,80.2461857705933,156.33132915325768,78.916615994136,88.95128069921013,2.885092036775218
cut1,60,1,58.61538122103915,-20.23407333485679,89.5157908163673,154.595068319461,73.86388176781836,99.4232186204016,2.1482451537033813
cut1,70,1,57.95636626951102,-20.91241003428837,90.54452609671281,163.26443073832064,67.28714518555776,102.99452842666399,2.178271174774468
cut1,80,1,58.208902193272294,-20.790020751654364,85.54973110317488,157.1704093089988,76.21407084140374,93.55189968424767,2.2404714932042573
cut1,90,1,60.155855826594504,-23.065617396053728,85.50028233615151,150.53408597955595,82.35031813533196,96.64627313342201,2.1281313959912307
cut1,100,1,56.58642024598509,-19.9289492788924,88.82539994966966,160.18764272079147,70.32532683867215,97.73931105804792,2.025619100955453
cut1,110,1,56.98476835528325,-20.209358561014202,91.89908673539807,148.8823801060706,68.22743279662636,83.86846055955623,2.3801069888802657
cut1,120,1,59.16282022780681,-21.423439149916767,85.00919782893408,149.78073300549795,79.716528627936,95.55413235567444,1.877674412029727
cut1,130,1,56.34516692755457,-18.169454972639024,92.06926781611433,155.6451240464972,67.0615574034317,84.00672333732318,2.074656589043249
cut1,140,1,56.79142042707737,-19.170084426828375,85.76681899698104,151.25249516867996,74.71311345893749,76.86729579964722,3.057339465551153
cut1,150,1,55.62258469398067,-17.355381414408534,86.02437664851848,152.86820617026237,73.65534276859539,72.12442265842436,4.662112202366443
cut1,160,1,56.18515071336274,-17.62501367625036,76.51362838975217,150.73913706525707,76.03498503270343,89.21166876783431,3.29103369909134
cut1,170,1,60.07297377382528,-22.481287678228824,79.71316539361534,151.6365417303032,80.56735646173262,95.38558564926213,4.758044663389336
cut1,180,1,58.45533859400907,-20.168155948976906,80.601405915492,152.1013506498087,79.00144698192749,102.36947710138216,4.837448327741093
cut1,190,1,59.437616966803844,-22.111151487181296,83.0090241153347,153.23596214342055,79.9426292573275,92.540617646806,4.614468362399463
cut1,200,1,59.24070038617359,-21.4364135913663,80.66980235615799,149.43322613799273,86.57986604862096,92.34588120500453,3.383500714664381
cut1,210,1,59.09980196818882,-22.36231182019278,82.64789682028292,153.85839224413579,87.58604479809003,84.28841111099909,4.407525683479519
cut1,220,1,58.64984220255053,-22.410995821675982,85.01507233227987,153.94263643941693,78.36761572227078,85.96373333643517,4.681381320082215
cut1,230,1,55.475419364235336,-19.537111880740877,91.21891035402639,152.74774535571228,67.35583103817044,82.13731843723139,-13.454178421976664
cut1,240,1,58.16984807587842,-22.908255846985526,93.5560179629644,152.29140606675094,69.70338272600691,89.0859654726334,-4.034206255542124
cut1,250,1,55.24904675939423,-18.947337355236666,84.64824518924198,153.18043809030195,70.68427641932172,79.21580998845906,4.968969686553279
cut1,260,1,56.9864362887312,-18.800811302029803,90.02610772337025,152.01719281692567,75.71925214176648,98.13314554982149,2.3284844191595058
cut1,270,1,58.88936428663994,-20.719402534361617,87.1811586906026,151.16002707975164,95.14141894855977,83.25322483949692,-2.7465026052476134
cut1,280,1,56.87351040737067,-17.97253770432073,85.52077453232566,152.43466514971496,84.02373302222234,73.51578118713364,6.80667794731263
cut1,290,1,59.17291105454311,-20.26670620221996,86.52235770081161,148.52054136140853,83.7991682266713,101.97433334500737,2.7246810892362405
cut1,300,1,57.2110837499143,-19.51008398855481,84.97372361568246,154.54311091474233,76.06180878406255,83.94922676493071,8.551487174700585
cut1,310,1,56.31693606270307,-18.30982266327131,84.58046342328169,153.4715595773918,74.92932966401808,87.02948790016502,4.666294403006811
cut1,320,1,57.093611799241295,-19.161075892940058,83.72441479534409,147.17075835002967,78.83439261004011,93.64865430497139,2.1937530454702805
cut1,330,1,61.022821766395275,-22.886301210741735,87.9824050121075,150.63721076675554,84.63009878461254,104.19249047084288,4.63153560634452
cut1,340,1,60.481620080771364,-22.71934928849685,88.37683697037058,151.4389979622114,84.590936174146,90.85064484063835,4.157985092624278
cut1,350,1,59.88470324884986,-21.423118306347572,85.71519425864642,150.49320983500152,80.86650335252891,97.84240571486582,4.507316939701664
cut1,360,1,56.12090130903725,-18.359006488107145,75.66999751484067,155.90534755505868,73.22674962253579,94.01480603297495,4.5533054785191
cut1,370,1,56.008924262870735,-17.87414139774547,77.72014107068568,156.674802620149,68.80464352023466,92.70458679501542,7.802361785182468
cut1,380,1,59.157203944399754,-20.65042817990718,84.80417846977038,147.77576451148465,79.43555787082914,89.38104173340002,4.488299168481513
cut1,390,1,57.49516574452906,-19.91899733327118,82.07040696168748,154.04017657363661,68.65561410417405,91.01843579136995,4.842521163922349
cut1,400,1,56.60860980947927,-18.81527677997907,91.26808192190686,158.547263710361,67.87307159132027,92.7633728253865,1.9406687490647978
cut1,410,1,57.09605629606373,-18.24036415844563,89.75661245262137,162.46363544458458,70.00332102374387,107.37147863770807,8.014926720593794
cut1,420,1,59.11046810841556,-20.597126091502194,88.36867399469932,153.03053584869696,98.96060809967565,80.68456344639974,6.3448228100215776
cut1,430,1,58.64284449825508,-19.322497546314843,90.91013036068972,150.50033286773186,74.22281849001514,91.60580218060963,1.533258472360697
cut1,440,1,58.15365119810358,-20.392623969096636,87.7415996767865,160.51388303293228,63.47347211555617,93.5976705069602,11.262611417737693
cut1,450,1,55.39389184570319,-18.551664704482246,85.85389183178987,162.80504670398358,53.42276514993372,93.47703416300914,4.860608543174275
cut1,460,1,57.87708452046046,-19.746416987696236,82.22266193553453,157.79529988623824,59.95070307609698,98.60662084400937,1.721698369067706
cut1,470,1,57.728612941503535,-19.33349944277572,83.68900854414822,158.14594706952533,57.38002382718989,97.70797355803677,4.802433226612425
cut1,480,1,60.10769037762774,-22.823967597102538,81.7345821345735,153.8945243569348,63.290237297407195,96.65120307036152,7.676064939961999
cut1,490,1,55.713059493319186,-19.491823532664398,72.93396170306495,161.59068012458494,54.41100078437368,87.33134933339917,4.471771169552433
cut1,500,1,56.0917145313911,-19.868733688218587,86.42824828115593,162.2925815077109,52.6517038709511,90.42994636189844,4.805661538040313
cut1,510,1,56.7804110653092,-20.863443861396785,80.33947614508293,161.43580833096237,54.5627924635915,94.98542028884277,4.823213755722865
cut1,520,1,58.333879365223,-21.27874932230426,82.12579598512332,152.7132662676257,61.333145912847435,94.30042355930141,11.065481566368794
cut1,530,1,56.48832777659987,-19.863744629337788,76.57745790983076,161.743031079853,57.82123469145479,106.02563828830614,4.766970131250888
cut1,540,1,59.600590084067,-23.306893105243997,79.04306805203738,156.90031091445417,70.20157433587214,93.1671216018812,4.672634351311793
cut1,550,1,57.57620176160953,-21.117967349743783,80.0779599664823,157.89835444669262,64.98244212475976,89.94452727011833,4.850490791082196
cut1,560,1,60.549024509445154,-24.17913345971081,84.60418847431487,152.49487021135005,70.81945533601638,85.85463713248235,7.95490553566864
cut1,570,1,60.38321801399129,-23.883248140907778,80.75695628768048,149.77362997517523,90.14135329415103,67.49211670868625,9.66496189133222
cut1,580,1,60.282466553862946,-24.090010596208362,76.94557113492095,144.83429357088633,62.58861519896086,92.55109084933588,1.8152143220701331
cut1,590,1,58.50235191115707,-20.916040061001155,80.8523744452645,146.53691741881897,64.61107830269988,82.72915082331232,4.866028680720158
cut1,600,1,60.953372089310264,-23.62394275758625,78.13392971279835,145.46931708685815,72.47889341992412,94.05176314620962,7.887535672850648
cut1,610,1,61.95275841181018,-25.041917150741604,76.53267715154708,153.4024961856493,69.79894790086621,95.32876365783395,4.7290464971695645
cut1,620,1,62.81471071910776,-25.367405496861753,77.93148609896049,147.2606053187172,74.94459696220422,102.48076660026105,4.776082316491952
cut1,630,1,62.343932662331994,-24.119938321339628,81.31921833661985,151.7229524626669,73.53011447250948,99.89563240737021,4.763250006695899
cut1,640,1,60.53945603075937,-22.159356121285825,85.00129962673653,156.3249975284958,73.51682938802672,94.89591860584858,4.687983554882899
cut1,650,1,58.74564500237629,-20.087234088961672,83.57514839300396,146.35348497034178,70.22881287204068,86.69161825676561,1.9659566671123683
cut1,660,1,61.76561389296809,-23.42173414258046,87.02557162160447,146.31658654975485,73.26937863269114,85.54568023565804,8.132477199439375
cut1,670,1,59.12841373817012,-21.26838030380683,86.40104651916694,145.8938303810598,68.36986905443752,80.84333649470976,-1.1748128154901085
cut1,680,1,59.787581675556716,-21.18250159111571,84.54298365281618,144.99871434369732,81.38831608459125,72.69506850228083,13.048449802910934
cut1,690,1,58.88470731448646,-21.92893218916308,84.24965252797386,156.07592114048825,71.92197678459188,80.0832016350325,4.534701493312298
cut1,700,1,62.201296737858975,-23.7201827591038,80.28907651292529,144.54304192844018,78.41010695574438,92.0658122141937,7.859117297535574
cut1,710,1,60.21530740162094,-23.30048672806023,84.49826962543163,151.28633827333326,72.3917655359084,82.21205332282979,7.572365579806231
cut1,720,1,61.010551651147075,-23.786059340259175,86.51591833058879,155.72200646347844,79.60082766790423,87.13909665138681,4.976630752450517
cut1,730,1,61.85883168017712,-23.331709528718186,84.98425810649209,147.57873511493858,81.8542838936694,89.46276680201262,7.367910780362215
cut1,740,1,59.19314547877078,-21.795698390974632,79.6314126734926,155.04370475717465,70.7190813399409,85.8357839776555,4.359836361222663
cut1,750,1,60.779637117632966,-23.42986006511481,77.67391190899093,158.7813214310623,72.48566442059625,94.69739799784034,4.602535583173719
cut1,760,1,59.201509999780015,-20.68603274010069,80.96369037178856,156.39694983140285,76.09505347446738,94.90521837049972,8.000285215164633
cut1,770,1,56.65646744987198,-18.96001091846357,82.6671756521641,151.62101616302306,66.4863561530285,74.66593631248766,4.218394691253189
cut1,780,1,57.93979079677614,-20.422500250153494,80.26455718389047,157.69356812756905,75.69004777216155,88.78059908652202,4.386233041288917
cut1,790,1,56.674470465738736,-19.553184449262822,82.26769499038413,156.5152110584962,75.93935649266878,72.26118606642237,3.466955215840607
cut1,800,1,57.092678945069764,-19.87808198738,80.31937909902528,151.25986883579105,76.65567649744682,80.07338351518817,2.9105954759486528
cut1,810,1,57.87578991527881,-19.670688684543144,75.27436910804123,149.3746937621196,84.23743963201228,88.87396323196963,3.0824959428114407
cut1,820,1,59.17031736598787,-21.676927624263495,78.94592224558652,154.84665434890346,82.43240189439803,87.64172764669362,3.325853931443903
cut1,830,1,59.03346371194845,-22.726041045831916,79.59455821738348,160.96659491746894,80.55923210312771,89.81451982562773,4.075716771503127
cut1,840,1,60.516277540055746,-23.615219835614496,83.18202910123433,153.39503529559454,84.12057143196212,87.26136614911925,4.1358375308964686
cut1,850,1,55.768249382606555,-18.352509144959534,81.80960547941183,150.4403805546176,72.64388516732906,76.04369750467458,2.8955345535041923
cut1,860,1,59.475548407704366,-20.936688691904656,81.19027883720354,151.52001476839735,81.60749041279847,93.84280934650802,2.1560612696844705
cut1,870,1,57.60982328052953,-20.218301017060337,82.77741400669935,152.25685035491023,82.49770934948788,80.5085547981269,6.546087507828315
cut1,880,1,59.04962737287594,-19.46937862753853,85.89063922854365,144.65840916752225,77.0339406012367,86.9128852734752,3.136987821374641
cut1,890,1,58.03573426438319,-20.283988248904283,85.52553310439312,148.6606583165696,70.4188621571134,81.08581874964305,2.3448463725465247
cut1,900,1,57.47595612149474,-19.165285323565882,84.45228865948627,149.1310158705117,78.5096657187528,72.5539428628627,6.538049610552499
cut1,910,1,58.02465855105711,-21.256947045639365,85.77123527478251,148.5864449565283,72.72442391241582,81.77607312287505,2.576702463672664
cut1,920,1,58.22995701335137,-21.722351130727827,83.43177711053566,151.91132333881131,71.79338504749646,84.33869407282957,2.196748052560945
cut1,930,1,60.04352822498913,-22.16125830533035,82.44304363754733,148.06258259685794,88.33290931119637,85.11519217981969,4.546673557291588
cut1,940,1,59.30811449118261,-21.136863775096366,81.27216735732249,148.6776595309157,73.83931205137533,84.7899679965682,3.906717742665927
cut1,950,1,59.1071723815501,-21.330688801178617,78.98201987607622,149.00892352321904,72.33297125626082,85.28671606085229,4.490603320838152
cut1,960,1,57.992987158198,-20.0731798792687,86.76313780377696,144.709721682356,69.50756160105973,86.44534705202047,3.279552568319196
cut1,970,1,56.530947566757796,-18.602614828935295,82.60763581689906,145.06920555894771,75.96443724114789,75.07898412423913,4.196268841535366
cut1,980,1,55.98017058924594,-18.189325752655016,82.22801592109435,144.1934675297403,70.97184559134699,82.4558078335758,2.572818990400361
cut1,990,1,55.099241177525265,-17.699094199539175,77.12720582097616,145.39895069238804,69.65762349963154,74.11671011581825,1.96375141636396
cut1,1000,1,57.03387184667646,-18.75647142090793,85.88953917767624,150.6887292402566,75.55769729454255,83.68550561296125,1.8115328319417807
cut1,1010,1,58.79773221569266,-21.339539371066323,86.07881989187621,150.9672379384983,73.32488249052136,85.93284159864731,4.754910513622871
cut1,1020,1,57.427393524346655,-19.8964286915005,90.43599462075198,149.3771184908986,67.0303349054091,76.75989053721915,1.8704549681438485
cut1,1030,1,57.96134923087903,-19.56954292010268,86.1116222712592,146.83290920276463,65.33514535773817,79.44576716528694,7.34494472433575
cut1,1040,1,60.94897165560002,-21.274494654588104,82.83349850024355,156.9621588281896,79.62619508172787,92.16590070369045,4.032818596677804
cut1,1050,1,60.76430893578094,-22.719939388568694,88.04057995983234,151.58476789076693,71.16346003249444,87.12644189261829,4.335743062164338
cut1,1060,1,62.12109870257172,-24.431436050478947,86.44306809315584,149.02367466128914,72.8174401475492,96.04476115821585,4.245556000822913
cut1,1070,1,58.98203136094898,-20.141314640716086,82.61202626401251,150.90599728428307,74.11734536870554,94.31337068864745,4.3113998167877705
cut1,1080,1,60.88201798438496,-23.33187848162106,81.85377904647915,146.87686572416857,74.08813261251797,92.05050615159142,4.361739575792513
cut1,1090,1,60.406938501674816,-22.73229386669159,78.25238097169014,146.70719270515875,72.44807566449195,89.71146450830766,4.053295134807323
cut1,1100,1,61.55415364067072,-23.64719021758821,83.52581331854324,144.05761060324608,77.16131636000853,89.75625703147676,3.990502597566213
cut1,1110,1,59.524434574396516,-22.18093347696018,81.30407099638816,148.92884405282254,68.64561720559877,90.11411228958845,3.9063118837553037
cut1,1120,1,59.34045906741271,-20.54628854670858,84.5978945304917,149.89133255294604,71.75523699777006,86.7578249103679,4.097627595951003
cut1,1130,1,61.40944654027807,-22.565596129504435,85.38865744626237,145.79553159982154,71.72121634448895,87.94743327101705,4.262307614346119
cut1,1140,1,62.53551965965138,-22.541213959104063,81.66280381695007,141.55657991814698,78.0098711545694,96.34287404471526,7.459488469022538
cut1,1150,1,61.76013333473399,-21.71643205922534,81.03544238835055,146.49560277390046,82.03906312286604,98.56906694347303,4.516273096191277
cut1,1160,1,59.59659237522621,-21.214490919448682,82.43156443900807,142.75650382811867,69.23157218271798,89.10926607526265,4.2796571184235646
cut1,1170,1,62.06889578221187,-22.847100074427914,80.38519226558243,145.5742416724622,80.65442176532895,105.70194215024034,4.240324942023257
cut1,1180,1,63.149919043687696,-23.842851610585555,85.60006312885992,140.7868847049456,72.39174930255702,99.60563036316039,4.152051043647275
cut1,1190,1,63.27714676975432,-22.855594233098945,85.27028529998296,137.8754553210589,112.51173759191897,82.79722362494954,-19.334585604239507
cut1,1200,1,64.7429665852317,-24.453797904948885,82.99422699113049,135.68529814459677,85.30834660593872,119.95313981482565,4.394692634947411
cut1,1210,1,67.92693072392008,-28.93705131418564,83.9368003748226,142.35506888505023,92.74073181735288,114.26344969700912,10.527657471433544
cut1,1220,1,62.37161859875396,-23.18843303368337,80.5277709319046,140.30857435249544,81.35521445746139,112.57979019598667,4.311140557669577
cut1,1230,1,66.70587043199208,-27.451297651799756,81.70141772753122,143.81300710231014,93.5977588303664,119.56915785572782,-1.9237642390111946
cut1,1240,1,63.31933231171715,-24.37903217345388,79.81090359631376,141.21248452013836,80.05113891262504,103.21508873974906,4.204626107701956
cut1,1250,1,65.47484332727412,-26.684604531160872,84.16672532777135,139.7743487197265,86.02910163786724,102.19913893033501,4.51823238228243
cut1,1260,1,64.75818025019353,-26.44944908125443,83.52646506612605,144.3042113074849,80.23590635053372,98.02574939722956,4.15674531927122
cut1,1270,1,63.37084826342145,-23.919996144835967,81.22619207506801,142.56315828753375,79.69333681470341,104.38990902773608,1.3352158721166452
cut1,1280,1,59.27470111939623,-19.640146849831307,73.82602807641221,147.1182384437238,71.76219756891629,98.98127374747736,4.578451117377807
cut1,1290,1,63.37166503872883,-24.948336684331426,77.85135296557853,141.53039195987537,76.89724869640852,99.98659831806577,4.629370966726661
cut1,1300,1,62.009083030601204,-22.517610761060716,78.02257524549402,138.43417902241234,82.4990232747981,87.83290119104255,7.559991436040275
cut1,1310,1,64.26290348595272,-24.75086683900952,83.67440906185894,140.26335452527405,78.62515282445543,101.76249104169862,4.581851119363085
cut1,1320,1,63.572886233856316,-24.862080685248,83.70349920596328,142.10691387027146,73.08662320749829,86.76959396941176,4.39909213321867
cut1,1330,1,61.36085405192559,-22.43829229398537,88.24468728863293,135.54385429846684,88.84716867562601,78.40489867280985,2.774405374768013
cut1,1340,1,62.96705383422586,-23.374571867949335,80.76444355911264,136.32664696493674,84.45400654762383,96.90885955964808,3.718520490213652
cut1,1350,1,62.360202772801905,-23.81449382820563,81.17229404865678,138.1883431575518,79.89218399529146,85.1353522746297,3.754811249201549
cut1,1360,1,63.6892562945627,-24.167833025415835,79.21032949528751,137.33865197967646,95.09946149925946,80.26112952716959,2.4989445917738924
cut1,1370,1,62.13494380719065,-24.709802642118216,83.90395577229792,143.70217238636204,69.86413225632603,84.86375625472364,4.208957726033679
cut1,1380,1,65.07471310527811,-26.246802180436163,85.45011404740944,137.23318373745036,90.73910780245153,84.77427517396875,5.423615140174101
cut1,1390,1,63.9223748806036,-24.526349163824513,81.29289882719276,131.57243066607737,95.29987807254437,89.21646372898547,2.448586600788606
cut1,1400,1,63.719592944402464,-24.017780410673854,80.02319588115373,134.6972409923863,82.0924862172109,88.21504588986313,3.6283971323161275
cut1,1410,1,62.59001319791311,-22.39067075803583,77.10004693261942,129.00486180018925,83.94788608764198,94.71941518633713,3.7265677046217274
cut1,1420,1,64.38121422186089,-24.796106465945694,83.87023901639243,130.44096315225227,82.76145841807818,92.83134170509787,3.8419248063246974
cut1,1430,1,63.41280985175288,-24.876145287275637,87.43979993353986,131.59930119410353,75.70792581648897,88.08243374298387,3.6834601352003604
cut1,1440,1,61.596363062540554,-23.46928055618554,82.92853009382446,134.58416457281606,67.18537969385507,77.55308966527569,7.000420584265276
cut1,1450,1,63.672452431480714,-22.292172032620073,79.60792556060964,124.1151681059951,83.67219213752115,92.46855227847728,2.9154119257592144
cut1,1460,1,61.550692782699215,-21.595485151338448,81.94837055505319,131.2757523909502,79.73433782334602,82.5784393630167,3.4759161941896726
cut1,1470,1,59.87821779839104,-22.29677228058426,81.90690296487692,138.1443026443041,64.01381456780564,75.25120006737896,3.9229368153672977
cut1,1480,1,61.401970368996125,-24.19140271435147,84.43554945870376,136.6202140456342,64.31228504483734,77.9490900021653,3.7599283860575543
cut1,1490,1,66.9706661808215,-26.061196079329882,80.19653737046593,123.5634247512999,97.68992935206951,95.15807683448011,5.432346307272053
cut1,1500,1,65.75735179660003,-25.990185954515447,79.0447040372897,132.18369774697092,82.08673092497241,95.44349888698946,4.3516871205920165
cut1,1510,1,60.85105379318103,-22.128671613172248,77.87520131435055,137.15900410261088,72.95415101223035,83.5999319918309,4.234905758502757
cut1,1520,1,60.466367108481975,-22.582924819160002,76.45028800779065,140.45438191526836,65.16645790554601,85.79589741148106,4.021934657298787
cut1,1530,1,60.10694073120782,-21.722508568522585,75.65608132808323,143.3803281386975,66.1315771009519,91.08200757197278,4.2027874384031625
cut1,1540,1,60.064810670920735,-22.067695263284662,80.51618291748706,137.49644362301495,72.27360629175638,84.95248180381434,3.7923930678500795
cut1,1550,1,61.09511145381655,-23.10969611793297,82.32779419124168,133.51829123482057,77.0787505437883,83.9578273194201,4.197546904870488
cut1,1560,1,59.10639069533121,-21.110327380008947,83.65520448358777,133.6653299987461,80.10302078710187,71.56828287019796,-0.044478982062376944
cut1,1570,1,63.17475527065261,-23.30700658367765,79.75722343274514,128.61225090772504,99.02936433800399,86.21601279570902,6.124130565129021
cut1,1580,1,59.77988900183069,-21.5998229854255,81.56608058040058,135.53656039369457,70.66370520637946,77.52973096351239,7.1208248903873095
cut1,1590,1,61.70186187058614,-23.446891043571817,80.19669370357391,134.4337368585667,70.61583769761721,78.52784505567357,3.601428707194944
cut1,1600,1,60.20851404116981,-22.700154962871654,82.47682413620521,137.74780105550485,66.15189876434883,72.9094968596242,6.833107874483075
cut1,1610,1,58.41031861442915,-21.178534539519525,80.19721403086727,140.88805566266402,60.481302460312605,71.24514651783818,3.868180003957031
cut1,1620,1,58.79556524175832,-21.37054655948884,76.84178435493223,142.14796690871688,61.0067632658659,78.8979041534764,7.063519843958664
cut1,1630,1,59.633051493575316,-21.84466994502443,81.21491548229214,136.98842505253756,70.95821732596319,77.43439892462811,6.82868610829119
cut1,1640,1,62.118994897145264,-24.248497357656333,82.2374454039753,135.8241822428292,83.41302580740953,77.72981761987663,5.601482592267912
cut1,1650,1,61.545916473113486,-23.79114254912202,82.23092196239757,140.4611257272339,70.16503161233774,85.28088795773385,7.3486470088041
cut1,1660,1,60.67411422736492,-22.142113494047766,77.79588772866417,138.0731797291,69.77805949293281,84.06728726099574,4.06144884246654
cut1,1670,1,59.88087135190209,-22.808248592157387,77.87139722286423,140.0100077584016,69.77043712085204,82.14288744788382,3.8840156347449226
cut1,1680,1,60.927666723548086,-23.013360828583934,81.03924121401155,137.47877771121102,72.82800379065502,77.74741661272228,2.600110125168323
cut1,1690,1,60.89691993044045,-23.54022342785691,80.82437118434636,137.78122903728422,69.81349908245414,82.87061410454419,3.6462919715548896
cut1,1700,1,59.52703925073381,-20.34721884210628,80.93204479122292,133.10134425809443,68.09981502760984,89.22006722191203,4.073138512182842
cut1,1710,1,60.68347310552625,-22.423064153371758,83.28266642795968,138.1330311049165,58.37212195924906,87.10335039850939,3.9913333674456317
cut1,1720,1,61.79603446899108,-23.282937700299442,82.01286652374081,135.7797532724209,66.7349866886777,85.7598508124832,3.99843596454576
